Rank,Category,Name,Country,City,Source,Industries,SelfMade,Gender,LastName,FirstName,FinalWorth,BirthDate,Age,birthYear,birthMonth,birthDay,Cpi_Country,Gdp_Country,Life_Expectancy_Country,Tax_Revenue_Country_Country,Total_Tax_Rate_Country,Population_Country,,Current Date
11,Fashion & Retail,Francoise Bettencourt Meyers & family,France,Paris,L'Oréal,Fashion & Retail,FALSE,Female,Bettencourt Meyers,Francoise,80500,7/10/1953,72,1953,7,10,110.05,2715518274227,82.5,24.2,60.7,67059887,,11/25/25
12,Technology,Larry Page,United States,Palo Alto,Google,Technology,TRUE,Male,Page,Larry,79200,3/26/1973,53,1973,3,26,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
13,Fashion & Retail,Amancio Ortega,Spain,La Coruna,Zara,Fashion & Retail,TRUE,Male,Ortega,Amancio,77300,3/28/1936,90,1936,3,28,110.96,1394116310769,83.3,14.2,47,47076781,,11/25/25
14,Technology,Sergey Brin,United States,Los Altos,Google,Technology,TRUE,Male,Brin,Sergey,76000,8/21/1973,52,1973,8,21,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
15,Food & Beverage,Zhong Shanshan,China,Hangzhou,"Beverages, pharmaceuticals",Food & Beverage,TRUE,Male,Zhong,Shanshan,68000,12/1/1954,71,1954,12,1,125.08,19910000000000,77,9.4,59.2,1397715000,,11/25/25
16,Technology,Mark Zuckerberg,United States,Palo Alto,Facebook,Technology,TRUE,Male,Zuckerberg,Mark,64400,5/14/1984,42,1984,5,14,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
17,Diversified,Charles Koch & family,United States,Wichita,Koch Industries,Diversified,FALSE,Male,Koch,Charles,59000,11/1/1935,90,1935,11,1,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
17,Diversified,Julia Koch & family,United States,New York,Koch Industries,Diversified,FALSE,Female,Koch,Julia,59000,4/12/1962,64,1962,4,12,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
19,Fashion & Retail,Jim Walton,United States,Bentonville,Walmart,Fashion & Retail,FALSE,Male,Walton,Jim,58800,6/7/1948,77,1948,6,7,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
20,Fashion & Retail,Rob Walton & family,United States,Bentonville,Walmart,Fashion & Retail,FALSE,Male,Walton,Rob,57600,10/27/1944,81,1944,10,27,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
21,Fashion & Retail,Alice Walton,United States,Fort Worth,Walmart,Fashion & Retail,FALSE,Female,Walton,Alice,56700,10/7/1949,76,1949,10,7,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
22,Media & Entertainment,David Thomson & family,Canada,Toronto,Media,Media & Entertainment,FALSE,Male,Thomson,David,54400,6/12/1957,68,1957,6,12,116.76,1736425629520,81.9,12.8,24.5,36991981,,11/25/25
23,Technology,Michael Dell,United States,Austin,Dell Technologies,Technology,TRUE,Male,Dell,Michael,50100,2/23/1965,61,1965,2,23,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
24,Diversified,Gautam Adani,India,Ahmedabad,"Infrastructure, commodities",Diversified,TRUE,Male,Adani,Gautam,47200,6/24/1962,63,1962,6,24,180.44,2611000000000,69.4,11.2,49.7,1366417754,,11/25/25
25,Fashion & Retail,Phil Knight & family,United States,Hillsboro,Nike,Fashion & Retail,TRUE,Male,Knight,Phil,45100,2/24/1938,88,1938,2,24,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
26,Technology,Zhang Yiming,China,Beijing,TikTok,Technology,TRUE,Male,Zhang,Yiming,45000,1/1/1984,42,1984,1,1,125.08,19910000000000,77,9.4,59.2,1397715000,,11/25/25
27,Fashion & Retail,Dieter Schwarz,Germany,Neckarsulm,Retail,Fashion & Retail,FALSE,Male,Schwarz,Dieter,42900,9/24/1939,86,1939,9,24,112.85,3845630030824,80.9,11.5,48.8,83132799,,11/25/25
28,Fashion & Retail,François Pinault & family,France,Paris,Luxury goods,Fashion & Retail,TRUE,Male,Pinault,François,40100,8/21/1936,89,1936,8,21,110.05,2715518274227,82.5,24.2,60.7,67059887,,11/25/25
29,Logistics,Klaus-Michael Kuehne,Switzerland,Schindellegi,Shipping,Logistics,FALSE,Male,Kuehne,Klaus-Michael,39100,6/2/1937,88,1937,6,2,99.55,703082435360,83.6,10.1,28.8,8574832,,11/25/25
30,Food & Beverage,Giovanni Ferrero,Belgium,Brussels,"Nutella, chocolates",Food & Beverage,FALSE,Male,Ferrero,Giovanni,38900,9/21/1964,61,1964,9,21,117.11,529606710418,81.6,24,55.4,11484055,,11/25/25
31,Food & Beverage,Jacqueline Mars,United States,The Plains,"Candy, pet food",Food & Beverage,FALSE,Female,Mars,Jacqueline,38300,10/10/1939,86,1939,10,10,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
31,Food & Beverage,John Mars,United States,Jackson,"Candy, pet food",Food & Beverage,FALSE,Male,Mars,John,38300,10/15/1935,90,1935,10,15,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
34,Technology,Ma Huateng,China,Shenzhen,Internet media,Technology,TRUE,Male,Ma,Huateng,35300,10/29/1971,54,1971,10,29,125.08,19910000000000,77,9.4,59.2,1397715000,,11/25/25
35,Gambling & Casinos,Miriam Adelson & family,United States,Las Vegas,Casinos,Gambling & Casinos,FALSE,Female,Adelson,Miriam,35000,10/10/1945,80,1945,10,10,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
35,Finance & Investments,Ken Griffin,United States,Miami,Hedge funds,Finance & Investments,TRUE,Male,Griffin,Ken,35000,10/15/1968,57,1968,10,15,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
37,Food & Beverage,Mark Mateschitz,Austria,Salzburg,Red Bull,Food & Beverage,FALSE,Male,Mateschitz,Mark,34700,5/7/1992,34,1992,5,7,118.06,446314739528,81.6,25.4,51.4,8877067,,11/25/25
38,Automotive,Robin Zeng,China,Ningde,Batteries,Automotive,TRUE,Male,Zeng,Robin,33400,1/1/1969,57,1969,1,1,125.08,19910000000000,77,9.4,59.2,1397715000,,11/25/25
39,Fashion & Retail,Tadashi Yanai & family,Japan,Tokyo,Fashion retail,Fashion & Retail,TRUE,Male,Yanai,Tadashi,32600,2/7/1949,77,1949,2,7,105.48,5081769542380,84.2,11.9,46.7,126226568,,11/25/25
40,Diversified,Len Blavatnik,United Kingdom,London,"Music, chemicals",Diversified,TRUE,Male,Blavatnik,Len,32100,6/1/1957,68,1957,6,1,119.62,2827113184696,81.3,25.5,30.6,66834405,,11/25/25
41,Fashion & Retail,Alain Wertheimer,United States,New York,Chanel,Fashion & Retail,FALSE,Male,Wertheimer,Alain,31600,8/28/1948,77,1948,8,28,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
41,Fashion & Retail,Gerard Wertheimer,United States,New York,Chanel,Fashion & Retail,FALSE,Male,Wertheimer,Gerard,31600,1/9/1951,75,1951,1,9,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
43,Logistics,Gianluigi Aponte,Switzerland,Geneva,Shipping,Logistics,TRUE,Male,Aponte,Gianluigi,31200,6/27/1940,85,1940,6,27,99.55,703082435360,83.6,10.1,28.8,8574832,,11/25/25
43,Logistics,Rafaela Aponte-Diamant,Switzerland,Geneva,Shipping,Logistics,TRUE,Female,Aponte-Diamant,Rafaela,31200,3/26/1945,81,1945,3,26,99.55,703082435360,83.6,10.1,28.8,8574832,,11/25/25
45,Technology,Colin Zheng Huang,China,Shanghai,E-commerce,Technology,TRUE,Male,Huang,Colin Zheng,30200,2/2/1980,46,1980,2,2,125.08,19910000000000,77,9.4,59.2,1397715000,,11/25/25
46,Manufacturing,Reinhold Wuerth & family,Germany,Kuenzelsau,Fasteners,Manufacturing,TRUE,Male,Wuerth,Reinhold,29700,4/20/1935,91,1935,4,20,112.85,3845630030824,80.9,11.5,48.8,83132799,,11/25/25
48,Finance & Investments,Jeff Yass,United States,Haverford,"Trading, investments",Finance & Investments,TRUE,Male,Yass,Jeff,28500,7/17/1958,67,1958,7,17,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
49,Finance & Investments,Jim Simons,United States,East Setauket,Hedge funds,Finance & Investments,TRUE,Male,Simons,Jim,28100,4/25/1938,88,1938,4,25,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
50,Finance & Investments,Stephen Schwarzman,United States,New York,Investments,Finance & Investments,TRUE,Male,Schwarzman,Stephen,27800,2/14/1947,79,1947,2,14,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
51,Automotive,Susanne Klatten,Germany,Bad Homburg,"BMW, pharmaceuticals",Automotive,FALSE,Female,Klatten,Susanne,27400,4/28/1962,64,1962,4,28,112.85,3845630030824,80.9,11.5,48.8,83132799,,11/25/25
52,Metals & Mining,Gina Rinehart,Australia,Perth,Mining,Metals & Mining,FALSE,Female,Rinehart,Gina,27000,2/9/1954,72,1954,2,9,119.8,1392680589329,82.7,23,47.4,25766605,,11/25/25
53,Technology,William Ding,China,Hangzhou,Online games,Technology,TRUE,Male,Ding,William,26700,10/1/1971,54,1971,10,1,125.08,19910000000000,77,9.4,59.2,1397715000,,11/25/25
54,Metals & Mining,Germán Larrea Mota Velasco & family,Mexico,Mexico City,Mining,Metals & Mining,FALSE,Male,Larrea Mota Velasco,Germán,26600,10/26/1953,72,1953,10,26,141.54,1258286717125,75,13.1,55.1,126014024,,11/25/25
55,Technology,Shiv Nadar,India,Delhi,software services,Technology,TRUE,Male,Nadar,Shiv,25600,7/18/1945,80,1945,7,18,180.44,2611000000000,69.4,11.2,49.7,1366417754,,11/25/25
56,Energy,Low Tuck Kwong,Indonesia,Jakarta,Coal,Energy,TRUE,Male,Low Tuck,Kwong,25500,4/17/1948,78,1948,4,17,151.18,1119190780753,71.5,10.2,30.1,270203917,,11/25/25
57,Finance & Investments,Thomas Peterffy,United States,Palm Beach,Discount brokerage,Finance & Investments,TRUE,Male,Peterffy,Thomas,25300,9/30/1944,81,1944,9,30,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
58,Metals & Mining,Andrey Melnichenko & family,United Arab Emirates,Ras Al Khaimah,"Fertilizers, coal",Metals & Mining,TRUE,Male,Melnichenko,Andrey,25200,3/8/1972,54,1972,3,8,114.52,421142267938,77.8,0.1,15.9,9770529,,11/25/25
59,Automotive,Stefan Quandt,Germany,Frankfurt,BMW,Automotive,FALSE,Male,Quandt,Stefan,24600,5/9/1966,60,1966,5,9,112.85,3845630030824,80.9,11.5,48.8,83132799,,11/25/25
60,Technology,MacKenzie Scott,United States,Seattle,Amazon,Technology,FALSE,Female,Scott,MacKenzie,24400,4/7/1970,56,1970,4,7,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
61,Finance & Investments,R. Budi Hartono,Indonesia,Kudus,"Banking, tobacco",Finance & Investments,FALSE,Male,Hartono,R. Budi,24200,1/1/1941,85,1941,1,1,151.18,1119190780753,71.5,10.2,30.1,270203917,,11/25/25
62,Metals & Mining,Vladimir Potanin,Russia,Moscow,Metals,Metals & Mining,TRUE,Male,Potanin,Vladimir,23700,1/3/1961,65,1961,1,3,180.75,1699876578871,72.7,11.4,46.2,144373535,,11/25/25
63,Technology,Jack Ma,China,Hangzhou,E-commerce,Technology,TRUE,Male,Ma,Jack,23500,9/10/1964,61,1964,9,10,125.08,19910000000000,77,9.4,59.2,1397715000,,11/25/25
64,Manufacturing,He Xiangjian & family,China,Foshan,Home appliances,Manufacturing,TRUE,Male,He,Xiangjian,23400,8/11/1942,83,1942,8,11,125.08,19910000000000,77,9.4,59.2,1397715000,,11/25/25
65,Metals & Mining,Iris Fontbona & family,Chile,Santiago,Mining,Metals & Mining,FALSE,Female,Fontbona,Iris,23100,1/1/1943,83,1943,1,1,131.91,282318159745,80,18.2,34,18952038,,11/25/25
65,Manufacturing,Michael Hartono,Indonesia,Kudus,"Banking, tobacco",Manufacturing,FALSE,Male,Hartono,Michael,23100,10/2/1939,86,1939,10,2,151.18,1119190780753,71.5,10.2,30.1,270203917,,11/25/25
67,Manufacturing,James Ratcliffe,United Kingdom,London,Chemicals,Manufacturing,TRUE,Male,Ratcliffe,James,22900,1/1/1953,73,1953,1,1,119.62,2827113184696,81.3,25.5,30.6,66834405,,11/25/25
68,Healthcare,Cyrus Poonawalla,India,Pune,Vaccines,Healthcare,FALSE,Male,Poonawalla,Cyrus,22600,5/11/1941,85,1941,5,11,180.44,2611000000000,69.4,11.2,49.7,1366417754,,11/25/25
69,Telecom,Masayoshi Son,Japan,Tokyo,"Internet, telecom",Telecom,TRUE,Male,Son,Masayoshi,22400,8/11/1957,68,1957,8,11,105.48,5081769542380,84.2,11.9,46.7,126226568,,11/25/25
70,Metals & Mining,Vladimir Lisin,Russia,Moscow,"Steel, transport",Metals & Mining,TRUE,Male,Lisin,Vladimir,22100,5/7/1956,70,1956,5,7,180.75,1699876578871,72.7,11.4,46.2,144373535,,11/25/25
71,Food & Beverage,Emmanuel Besnier,France,Laval,Cheese,Food & Beverage,FALSE,Male,Besnier,Emmanuel,22000,9/18/1970,55,1970,9,18,110.05,2715518274227,82.5,24.2,60.7,67059887,,11/25/25
72,Finance & Investments,Abigail Johnson,United States,Milton,Fidelity,Finance & Investments,FALSE,Female,Johnson,Abigail,21600,12/19/1961,64,1961,12,19,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
72,Energy,Leonid Mikhelson & family,Russia,Moscow,"Gas, chemicals",Energy,TRUE,Male,Mikhelson,Leonid,21600,8/11/1955,70,1955,8,11,180.75,1699876578871,72.7,11.4,46.2,144373535,,11/25/25
74,Fashion & Retail,Lukas Walton,United States,Chicago,Walmart,Fashion & Retail,FALSE,Male,Walton,Lukas,21200,9/19/1986,39,1986,9,19,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
74,Service,Wang Wei,China,Shenzhen,Package delivery,Service,TRUE,Male,Wang,Wei,21200,10/1/1970,55,1970,10,1,125.08,19910000000000,77,9.4,59.2,1397715000,,11/25/25
76,Technology,Jensen Huang,United States,Los Altos,Semiconductors,Technology,TRUE,Male,Huang,Jensen,21100,2/17/1963,63,1963,2,17,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
77,Fashion & Retail,Leonard Lauder,United States,New York,Estee Lauder,Fashion & Retail,FALSE,Male,Lauder,Leonard,21000,3/19/1933,93,1933,3,19,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
77,Manufacturing,Takemitsu Takizaki,Japan,Osaka,Sensors,Manufacturing,TRUE,Male,Takizaki,Takemitsu,21000,6/10/1945,80,1945,6,10,105.48,5081769542380,84.2,11.9,46.7,126226568,,11/25/25
79,Metals & Mining,Alexey Mordashov & family,Russia,Moscow,"Steel, investments",Metals & Mining,TRUE,Male,Mordashov,Alexey,20900,9/26/1965,60,1965,9,26,180.75,1699876578871,72.7,11.4,46.2,144373535,,11/25/25
80,Energy,Vagit Alekperov,Russia,Moscow,Oil,Energy,TRUE,Male,Alekperov,Vagit,20500,9/1/1950,75,1950,9,1,180.75,1699876578871,72.7,11.4,46.2,144373535,,11/25/25
81,Healthcare,"Thomas Frist, Jr. & family",United States,Nashville,Hospitals,Healthcare,TRUE,Male,Frist,Thomas,20200,8/12/1938,87,1938,8,12,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
82,Metals & Mining,Andrew Forrest,Australia,Perth,Mining,Metals & Mining,TRUE,Male,Forrest,Andrew,19600,11/18/1961,64,1961,11,18,119.8,1392680589329,82.7,23,47.4,25766605,,11/25/25
83,Finance & Investments,Ray Dalio,United States,Greenwich,Hedge funds,Finance & Investments,TRUE,Male,Dalio,Ray,19100,8/8/1949,76,1949,8,8,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
84,Automotive,Eric Li,China,Hangzhou,Automobiles,Automotive,TRUE,Male,Li,Eric,19000,6/1/1963,62,1963,6,1,125.08,19910000000000,77,9.4,59.2,1397715000,,11/25/25
84,Metals & Mining,Wang Wenyin,China,Shenzhen,"Mining, copper products",Metals & Mining,TRUE,Male,Wang,Wenyin,19000,3/1/1968,58,1968,3,1,125.08,19910000000000,77,9.4,59.2,1397715000,,11/25/25
86,Food & Beverage,Qin Yinglin,China,Nanyang,Pig breeding,Food & Beverage,TRUE,Male,Qin,Yinglin,18900,4/17/1965,61,1965,4,17,125.08,19910000000000,77,9.4,59.2,1397715000,,11/25/25
88,Automotive,Wang Chuanfu,China,Shenzhen,"Batteries, automobiles",Automotive,TRUE,Male,Wang,Chuanfu,18700,2/15/1966,60,1966,2,15,125.08,19910000000000,77,9.4,59.2,1397715000,,11/25/25
89,Energy,Harold Hamm & family,United States,Oklahoma City,Oil & gas,Energy,TRUE,Male,Hamm,Harold,18500,12/11/1945,80,1945,12,11,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
89,Finance & Investments,David Tepper,United States,Palm Beach,Hedge funds,Finance & Investments,TRUE,Male,Tepper,David,18500,9/11/1957,68,1957,9,11,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
89,Energy,Gennady Timchenko,Russia,Moscow,"Oil, gas",Energy,TRUE,Male,Timchenko,Gennady,18500,11/9/1952,73,1952,11,9,180.75,1699876578871,72.7,11.4,46.2,144373535,,11/25/25
92,Finance & Investments,Daniel Gilbert,United States,Franklin,Quicken Loans,Finance & Investments,TRUE,Male,Gilbert,Daniel,18000,1/17/1962,64,1962,1,17,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
93,Metals & Mining,Lakshmi Mittal,United Kingdom,London,Steel,Metals & Mining,FALSE,Male,Mittal,Lakshmi,17700,6/15/1950,75,1950,6,15,119.62,2827113184696,81.3,25.5,30.6,66834405,,11/25/25
94,Finance & Investments,Steve Cohen,United States,Greenwich,Hedge funds,Finance & Investments,TRUE,Male,Cohen,Steve,17500,6/11/1956,69,1956,6,11,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
94,Finance & Investments,Carl Icahn,United States,Indian Creek,Investments,Finance & Investments,TRUE,Male,Icahn,Carl,17500,2/16/1936,90,1936,2,16,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
94,Metals & Mining,Savitri Jindal & family,India,Hisar,Steel,Metals & Mining,FALSE,Female,Jindal,Savitri,17500,3/20/1950,76,1950,3,20,180.44,2611000000000,69.4,11.2,49.7,1366417754,,11/25/25
97,Real Estate,Donald Bren,United States,Newport Beach,Real estate,Real Estate,TRUE,Male,Bren,Donald,17400,5/11/1932,94,1932,5,11,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
97,Fashion & Retail,"John Menard, Jr.",United States,Eau Claire,Home improvement stores,Fashion & Retail,TRUE,Male,Menard,John,17400,1/22/1940,86,1940,1,22,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
99,Media & Entertainment,Rupert Murdoch & family,United States,New York,"Newspapers, TV network",Media & Entertainment,FALSE,Male,Murdoch,Rupert,17100,3/11/1931,95,1931,3,11,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
100,Finance & Investments,Vicky Safra & family,Switzerland,Crans-Montana,Banking,Finance & Investments,FALSE,Female,Safra,Vicky,16700,1/1/1953,73,1953,1,1,99.55,703082435360,83.6,10.1,28.8,8574832,,11/25/25
101,Fashion & Retail,"Theo Albrecht, Jr. & family",Germany,Mulheim an der Ruhr,"Aldi, Trader Joe's",Fashion & Retail,FALSE,Male,Albrecht,Theo,16500,1/1/1951,75,1951,1,1,112.85,3845630030824,80.9,11.5,48.8,83132799,,11/25/25
101,Finance & Investments,Renata Kellnerova & family,Czech Republic,Prague,"Finance, telecommunications",Finance & Investments,FALSE,Female,Kellnerova,Renata,16500,7/4/1967,58,1967,7,4,116.48,246489245495,79,14.9,46.1,10669709,,11/25/25
103,Healthcare,Li Xiting,China,Shenzhen,medical devices,Healthcare,TRUE,Male,Li,Xiting,16300,1/1/1951,75,1951,1,1,125.08,19910000000000,77,9.4,59.2,1397715000,,11/25/25
104,Fashion & Retail,Stefan Persson,Sweden,Stockholm,H&M,Fashion & Retail,FALSE,Male,Persson,Stefan,16200,10/4/1947,78,1947,10,4,110.51,530832908738,82.5,27.9,49.1,10285453,,11/25/25
104,Technology,Eric Schmidt,United States,Atherton,Google,Technology,TRUE,Male,Schmidt,Eric,16200,4/27/1955,71,1955,4,27,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
106,Finance & Investments,Michael Platt,Switzerland,Geneva,Hedge funds,Finance & Investments,TRUE,Male,Platt,Michael,16000,3/18/1968,58,1968,3,18,99.55,703082435360,83.6,10.1,28.8,8574832,,11/25/25
107,Food & Beverage,Pang Kang,China,Foshan,Soy sauce,Food & Beverage,TRUE,Male,Pang,Kang,15900,1/19/1956,70,1956,1,19,125.08,19910000000000,77,9.4,59.2,1397715000,,11/25/25
108,Food & Beverage,Jorge Paulo Lemann & family,Switzerland,Zurich,Beer,Food & Beverage,TRUE,Male,Lemann,Jorge Paulo,15800,8/26/1939,86,1939,8,26,99.55,703082435360,83.6,10.1,28.8,8574832,,11/25/25
112,Healthcare,Dilip Shanghvi,India,Mumbai,Pharmaceuticals,Healthcare,TRUE,Male,Shanghvi,Dilip,15600,10/1/1955,70,1955,10,1,180.44,2611000000000,69.4,11.2,49.7,1366417754,,11/25/25
113,Technology,Robert Pera,United States,San Jose,Wireless networking,Technology,TRUE,Male,Pera,Robert,15500,3/10/1978,48,1978,3,10,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
114,Fashion & Retail,Radhakishan Damani,India,Mumbai,"Retail, investments",Fashion & Retail,TRUE,Male,Damani,Radhakishan,15300,1/1/1955,71,1955,1,1,180.44,2611000000000,69.4,11.2,49.7,1366417754,,11/25/25
115,Automotive,Huang Shilin,China,Ningde,Batteries,Automotive,TRUE,Male,Huang,Shilin,15200,1/1/1967,59,1967,1,1,125.08,19910000000000,77,9.4,59.2,1397715000,,11/25/25
116,Diversified,Dhanin Chearavanont,Thailand,Bangkok,Diversified,Diversified,FALSE,Male,Chearavanont,Dhanin,14900,4/19/1939,87,1939,4,19,113.27,543649976166,76.9,14.9,29.5,69625582,,11/25/25
116,Fashion & Retail,David Green & family,United States,Oklahoma City,Retail,Fashion & Retail,TRUE,Male,Green,David,14900,11/13/1941,84,1941,11,13,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
118,Food & Beverage,Charoen Sirivadhanabhakdi,Thailand,Bangkok,"Alcohol, real estate",Food & Beverage,TRUE,Male,Sirivadhanabhakdi,Charoen,14800,5/2/1944,82,1944,5,2,113.27,543649976166,76.9,14.9,29.5,69625582,,11/25/25
119,Food & Beverage,Charlene de Carvalho-Heineken & family,United Kingdom,London,Heineken,Food & Beverage,FALSE,Female,de Carvalho-Heineken,Charlene,14700,6/30/1954,71,1954,6,30,119.62,2827113184696,81.3,25.5,30.6,66834405,,11/25/25
120,Healthcare,Xu Hang,China,Shenzhen,Medical devices,Healthcare,TRUE,Male,Xu,Hang,14600,5/22/1962,64,1962,5,22,125.08,19910000000000,77,9.4,59.2,1397715000,,11/25/25
121,Automotive,Wei Jianjun & family,China,Baoding,Automobiles,Automotive,TRUE,Male,Wei,Jianjun,14500,3/1/1964,62,1964,3,1,125.08,19910000000000,77,9.4,59.2,1397715000,,11/25/25
123,Manufacturing,Goh Cheng Liang,Singapore,Singapore,Paints,Manufacturing,TRUE,Male,Goh,Cheng Liang,14300,6/27/1927,98,1927,6,27,114.41,372062527489,83.1,13.1,21,5703569,,11/25/25
124,Diversified,Kumar Birla,India,Mumbai,Commodities,Diversified,FALSE,Male,Birla,Kumar,14200,6/14/1967,58,1967,6,14,180.44,2611000000000,69.4,11.2,49.7,1366417754,,11/25/25
124,Manufacturing,Aliko Dangote,Nigeria,Lagos,"Cement, sugar",Manufacturing,TRUE,Male,Dangote,Aliko,14200,4/10/1957,69,1957,4,10,267.51,448120428859,54.3,1.5,34.8,200963599,,11/25/25
127,Diversified,Idan Ofer,United Kingdom,London,Shipping,Diversified,FALSE,Male,Ofer,Idan,14000,10/2/1955,70,1955,10,2,119.62,2827113184696,81.3,25.5,30.6,66834405,,11/25/25
128,Healthcare,Chen Bang,China,Changsha,Hospitals,Healthcare,TRUE,Male,Chen,Bang,13900,9/1/1965,60,1965,9,1,125.08,19910000000000,77,9.4,59.2,1397715000,,11/25/25
130,Logistics,John Fredriksen,United Kingdom,London,Shipping,Logistics,TRUE,Male,Fredriksen,John,13700,2/1/1945,81,1945,2,1,119.62,2827113184696,81.3,25.5,30.6,66834405,,11/25/25
130,Construction & Engineering,Diane Hendricks,United States,Afton,Building supplies,Construction & Engineering,TRUE,Female,Hendricks,Diane,13700,3/2/1947,79,1947,3,2,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
130,Technology,Jan Koum,United States,Atherton,WhatsApp,Technology,TRUE,Male,Koum,Jan,13700,2/24/1976,50,1976,2,24,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
133,Sports,Jerry Jones,United States,Dallas,Dallas Cowboys,Sports,TRUE,Male,Jones,Jerry,13300,10/13/1942,83,1942,10,13,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
