rank,category,personName,country,city,source,industries,selfMade,gender,lastName,firstName,finalWorth,birthYear,birthMonth,birthDay,cpi_country,gdp_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,
24,Diversified,Gautam Adani,India,Ahmedabad,"Infrastructure, commodities",Diversified,TRUE,M,Adani,Gautam,47200,1962,6,24,180.44,"$2,611,000,000,000 ",69.4,11.2,49.7,1366417754,
25,Fashion & Retail,Phil Knight & family,United States,Hillsboro,Nike,Fashion & Retail,TRUE,M,Knight,Phil,45100,1938,2,24,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
26,Technology,Zhang Yiming,China,Beijing,TikTok,Technology,TRUE,M,Zhang,Yiming,45000,1984,1,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
27,Fashion & Retail,Dieter Schwarz,Germany,Neckarsulm,Retail,Fashion & Retail,FALSE,M,Schwarz,Dieter,42900,1939,9,24,112.85,"$3,845,630,030,824 ",80.9,11.5,48.8,83132799,
28,Fashion & Retail,François Pinault & family,France,Paris,Luxury goods,Fashion & Retail,TRUE,M,Pinault,François,40100,1936,8,21,110.05,"$2,715,518,274,227 ",82.5,24.2,60.7,67059887,
29,Logistics,Klaus-Michael Kuehne,Switzerland,Schindellegi,Shipping,Logistics,FALSE,M,Kuehne,Klaus-Michael,39100,1937,6,2,99.55,"$703,082,435,360 ",83.6,10.1,28.8,8574832,
30,Food & Beverage,Giovanni Ferrero,Belgium,Brussels,"Nutella, chocolates",Food & Beverage,FALSE,M,Ferrero,Giovanni,38900,1964,9,21,117.11,"$529,606,710,418 ",81.6,24,55.4,11484055,
31,Food & Beverage,Jacqueline Mars,United States,The Plains,"Candy, pet food",Food & Beverage,FALSE,F,Mars,Jacqueline,38300,1939,10,10,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
31,Food & Beverage,John Mars,United States,Jackson,"Candy, pet food",Food & Beverage,FALSE,M,Mars,John,38300,1935,10,15,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
34,Technology,Ma Huateng,China,Shenzhen,Internet media,Technology,TRUE,M,Ma,Huateng,35300,1971,10,29,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
35,Gambling & Casinos,Miriam Adelson & family,United States,Las Vegas,Casinos,Gambling & Casinos,FALSE,F,Adelson,Miriam,35000,1945,10,10,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
35,Finance & Investments,Ken Griffin,United States,Miami,Hedge funds,Finance & Investments,TRUE,M,Griffin,Ken,35000,1968,10,15,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
37,Food & Beverage,Mark Mateschitz,Austria,Salzburg,Red Bull,Food & Beverage,FALSE,M,Mateschitz,Mark,34700,1992,5,7,118.06,"$446,314,739,528 ",81.6,25.4,51.4,8877067,
37,Food & Beverage,Mark Mateschitz,Austria,Salzburg,Red Bull,Food & Beverage,FALSE,M,Mateschitz,Mark,34700,1992,5,7,118.06,"$446,314,739,528 ",81.6,25.4,51.4,8877067,
38,Automotive,Robin Zeng,China,Ningde,Batteries,Automotive,TRUE,M,Zeng,Robin,33400,1969,1,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
39,Fashion & Retail,Tadashi Yanai & family,Japan,Tokyo,Fashion retail,Fashion & Retail,TRUE,M,Yanai,Tadashi,32600,1949,2,7,105.48,"$5,081,769,542,380 ",84.2,11.9,46.7,126226568,
40,Diversified,Len Blavatnik,United Kingdom,London,"Music, chemicals",Diversified,TRUE,M,Blavatnik,Len,32100,1957,6,1,119.62,"$2,827,113,184,696 ",81.3,25.5,30.6,66834405,
41,Fashion & Retail,Alain Wertheimer,United States,New York,Chanel,Fashion & Retail,FALSE,M,Wertheimer,Alain,31600,1948,8,28,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
41,Fashion & Retail,Gerard Wertheimer,United States,New York,Chanel,Fashion & Retail,FALSE,M,Wertheimer,Gerard,31600,1951,1,9,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
43,Logistics,Gianluigi Aponte,Switzerland,Geneva,Shipping,Logistics,TRUE,M,Aponte,Gianluigi,31200,1940,6,27,99.55,"$703,082,435,360 ",83.6,10.1,28.8,8574832,
43,Logistics,Rafaela Aponte-Diamant,Switzerland,Geneva,Shipping,Logistics,TRUE,F,Aponte-Diamant,Rafaela,31200,1945,3,26,99.55,"$703,082,435,360 ",83.6,10.1,28.8,8574832,
45,Technology,Colin Zheng Huang,China,Shanghai,E-commerce,Technology,TRUE,M,Huang,Colin Zheng,30200,1980,2,2,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
46,Manufacturing,Reinhold Wuerth & family,Germany,Kuenzelsau,Fasteners,Manufacturing,TRUE,M,Wuerth,Reinhold,29700,1935,4,20,112.85,"$3,845,630,030,824 ",80.9,11.5,48.8,83132799,
48,Finance & Investments,Jeff Yass,United States,Haverford,"Trading, investments",Finance & Investments,TRUE,M,Yass,Jeff,28500,1958,7,17,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
49,Finance & Investments,Jim Simons,United States,East Setauket,Hedge funds,Finance & Investments,TRUE,M,Simons,Jim,28100,1938,4,25,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
50,Finance & Investments,Stephen Schwarzman,United States,New York,Investments,Finance & Investments,TRUE,M,Schwarzman,Stephen,27800,1947,2,14,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
51,Automotive,Susanne Klatten,Germany,Bad Homburg,"BMW, pharmaceuticals",Automotive,FALSE,F,Klatten,Susanne,27400,1962,4,28,112.85,"$3,845,630,030,824 ",80.9,11.5,48.8,83132799,
52,Metals & Mining,Gina Rinehart,Australia,Perth,Mining,Metals & Mining,FALSE,F,Rinehart,Gina,27000,1954,2,9,119.8,"$1,392,680,589,329 ",82.7,23,47.4,25766605,
53,Technology,William Ding,China,Hangzhou,Online games,Technology,TRUE,M,Ding,William,26700,1971,10,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
54,Metals & Mining,Germán Larrea Mota Velasco & family,Mexico,Mexico City,Mining,Metals & Mining,FALSE,M,Larrea Mota Velasco,Germán,26600,1953,10,26,141.54,"$1,258,286,717,125 ",75,13.1,55.1,126014024,
55,Technology,Shiv Nadar,India,Delhi,software services,Technology,TRUE,M,Nadar,Shiv,25600,1945,7,18,180.44,"$2,611,000,000,000 ",69.4,11.2,49.7,1366417754,
56,Energy,Low Tuck Kwong,Indonesia,Jakarta,Coal,Energy,TRUE,M,Low Tuck,Kwong,25500,1948,4,17,151.18,"$1,119,190,780,753 ",71.5,10.2,30.1,270203917,
57,Finance & Investments,Thomas Peterffy,United States,Palm Beach,Discount brokerage,Finance & Investments,TRUE,M,Peterffy,Thomas,25300,1944,9,30,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
58,Metals & Mining,Andrey Melnichenko & family,United Arab Emirates,Ras Al Khaimah,"Fertilizers, coal",Metals & Mining,TRUE,M,Melnichenko,Andrey,25200,1972,3,8,114.52,"$421,142,267,938 ",77.8,0.1,15.9,9770529,
59,Automotive,Stefan Quandt,Germany,Frankfurt,BMW,Automotive,FALSE,M,Quandt,Stefan,24600,1966,5,9,112.85,"$3,845,630,030,824 ",80.9,11.5,48.8,83132799,
60,Technology,MacKenzie Scott,United States,Seattle,Amazon,Technology,FALSE,F,Scott,MacKenzie,24400,1970,4,7,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
61,Finance & Investments,R. Budi Hartono,Indonesia,Kudus,"Banking, tobacco",Finance & Investments,FALSE,M,Hartono,R. Budi,24200,1941,1,1,151.18,"$1,119,190,780,753 ",71.5,10.2,30.1,270203917,
62,Metals & Mining,Vladimir Potanin,Russia,Moscow,Metals,Metals & Mining,TRUE,M,Potanin,Vladimir,23700,1961,1,3,180.75,"$1,699,876,578,871 ",72.7,11.4,46.2,144373535,
63,Technology,Jack Ma,China,Hangzhou,E-commerce,Technology,TRUE,M,Ma,Jack,23500,1964,9,10,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
64,Manufacturing,He Xiangjian & family,China,Foshan,Home appliances,Manufacturing,TRUE,M,He,Xiangjian,23400,1942,8,11,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
65,Metals & Mining,Iris Fontbona & family,Chile,Santiago,Mining,Metals & Mining,FALSE,F,Fontbona,Iris,23100,1943,1,1,131.91,"$282,318,159,745 ",80,18.2,34,18952038,
65,Manufacturing,Michael Hartono,Indonesia,Kudus,"Banking, tobacco",Manufacturing,FALSE,M,Hartono,Michael,23100,1939,10,2,151.18,"$1,119,190,780,753 ",71.5,10.2,30.1,270203917,
67,Manufacturing,James Ratcliffe,United Kingdom,London,Chemicals,Manufacturing,TRUE,M,Ratcliffe,James,22900,1953,1,1,119.62,"$2,827,113,184,696 ",81.3,25.5,30.6,66834405,
68,Healthcare,Cyrus Poonawalla,India,Pune,Vaccines,Healthcare,FALSE,M,Poonawalla,Cyrus,22600,1941,5,11,180.44,"$2,611,000,000,000 ",69.4,11.2,49.7,1366417754,
69,Telecom,Masayoshi Son,Japan,Tokyo,"Internet, telecom",Telecom,TRUE,M,Son,Masayoshi,22400,1957,8,11,105.48,"$5,081,769,542,380 ",84.2,11.9,46.7,126226568,
70,Metals & Mining,Vladimir Lisin,Russia,Moscow,"Steel, transport",Metals & Mining,TRUE,M,Lisin,Vladimir,22100,1956,5,7,180.75,"$1,699,876,578,871 ",72.7,11.4,46.2,144373535,
71,Food & Beverage,Emmanuel Besnier,France,Laval,Cheese,Food & Beverage,FALSE,M,Besnier,Emmanuel,22000,1970,9,18,110.05,"$2,715,518,274,227 ",82.5,24.2,60.7,67059887,
72,Finance & Investments,Abigail Johnson,United States,Milton,Fidelity,Finance & Investments,FALSE,F,Johnson,Abigail,21600,1961,12,19,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
72,Energy,Leonid Mikhelson & family,Russia,Moscow,"Gas, chemicals",Energy,TRUE,M,Mikhelson,Leonid,21600,1955,8,11,180.75,"$1,699,876,578,871 ",72.7,11.4,46.2,144373535,
74,Fashion & Retail,Lukas Walton,United States,Chicago,Walmart,Fashion & Retail,FALSE,M,Walton,Lukas,21200,1986,9,19,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
74,Service,Wang Wei,China,Shenzhen,Package delivery,Service,TRUE,M,Wang,Wei,21200,1970,10,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
76,Technology,Jensen Huang,United States,Los Altos,Semiconductors,Technology,TRUE,M,Huang,Jensen,21100,1963,2,17,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
77,Fashion & Retail,Leonard Lauder,United States,New York,Estee Lauder,Fashion & Retail,FALSE,M,Lauder,Leonard,21000,1933,3,19,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
77,Manufacturing,Takemitsu Takizaki,Japan,Osaka,Sensors,Manufacturing,TRUE,M,Takizaki,Takemitsu,21000,1945,6,10,105.48,"$5,081,769,542,380 ",84.2,11.9,46.7,126226568,
79,Metals & Mining,Alexey Mordashov & family,Russia,Moscow,"Steel, investments",Metals & Mining,TRUE,M,Mordashov,Alexey,20900,1965,9,26,180.75,"$1,699,876,578,871 ",72.7,11.4,46.2,144373535,
80,Energy,Vagit Alekperov,Russia,Moscow,Oil,Energy,TRUE,M,Alekperov,Vagit,20500,1950,9,1,180.75,"$1,699,876,578,871 ",72.7,11.4,46.2,144373535,
81,Healthcare,"Thomas Frist, Jr. & family",United States,Nashville,Hospitals,Healthcare,TRUE,M,Frist,Thomas,20200,1938,8,12,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
82,Metals & Mining,Andrew Forrest,Australia,Perth,Mining,Metals & Mining,TRUE,M,Forrest,Andrew,19600,1961,11,18,119.8,"$1,392,680,589,329 ",82.7,23,47.4,25766605,
83,Finance & Investments,Ray Dalio,United States,Greenwich,Hedge funds,Finance & Investments,TRUE,M,Dalio,Ray,19100,1949,8,8,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
84,Automotive,Eric Li,China,Hangzhou,Automobiles,Automotive,TRUE,M,Li,Eric,19000,1963,6,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
84,Metals & Mining,Wang Wenyin,China,Shenzhen,"Mining, copper products",Metals & Mining,TRUE,M,Wang,Wenyin,19000,1968,3,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
86,Food & Beverage,Qin Yinglin,China,Nanyang,Pig breeding,Food & Beverage,TRUE,M,Qin,Yinglin,18900,1965,4,17,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
88,Automotive,Wang Chuanfu,China,Shenzhen,"Batteries, automobiles",Automotive,TRUE,M,Wang,Chuanfu,18700,1966,2,15,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
89,Energy,Harold Hamm & family,United States,Oklahoma City,Oil & gas,Energy,TRUE,M,Hamm,Harold,18500,1945,12,11,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
89,Finance & Investments,David Tepper,United States,Palm Beach,Hedge funds,Finance & Investments,TRUE,M,Tepper,David,18500,1957,9,11,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
89,Energy,Gennady Timchenko,Russia,Moscow,"Oil, gas",Energy,TRUE,M,Timchenko,Gennady,18500,1952,11,9,180.75,"$1,699,876,578,871 ",72.7,11.4,46.2,144373535,
92,Finance & Investments,Daniel Gilbert,United States,Franklin,Quicken Loans,Finance & Investments,TRUE,M,Gilbert,Daniel,18000,1962,1,17,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
93,Metals & Mining,Lakshmi Mittal,United Kingdom,London,Steel,Metals & Mining,FALSE,M,Mittal,Lakshmi,17700,1950,6,15,119.62,"$2,827,113,184,696 ",81.3,25.5,30.6,66834405,
94,Finance & Investments,Steve Cohen,United States,Greenwich,Hedge funds,Finance & Investments,TRUE,M,Cohen,Steve,17500,1956,6,11,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
94,Finance & Investments,Carl Icahn,United States,Indian Creek,Investments,Finance & Investments,TRUE,M,Icahn,Carl,17500,1936,2,16,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
94,Metals & Mining,Savitri Jindal & family,India,Hisar,Steel,Metals & Mining,FALSE,F,Jindal,Savitri,17500,1950,3,20,180.44,"$2,611,000,000,000 ",69.4,11.2,49.7,1366417754,
97,Real Estate,Donald Bren,United States,Newport Beach,Real estate,Real Estate,TRUE,M,Bren,Donald,17400,1932,5,11,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
97,Fashion & Retail,"John Menard, Jr.",United States,Eau Claire,Home improvement stores,Fashion & Retail,TRUE,M,Menard,John,17400,1940,1,22,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
99,Media & Entertainment,Rupert Murdoch & family,United States,New York,"Newspapers, TV network",Media & Entertainment,FALSE,M,Murdoch,Rupert,17100,1931,3,11,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
100,Finance & Investments,Vicky Safra & family,Switzerland,Crans-Montana,Banking,Finance & Investments,FALSE,F,Safra,Vicky,16700,1953,1,1,99.55,"$703,082,435,360 ",83.6,10.1,28.8,8574832,
101,Fashion & Retail,"Theo Albrecht, Jr. & family",Germany,Mulheim an der Ruhr,"Aldi, Trader Joe's",Fashion & Retail,FALSE,M,Albrecht,Theo,16500,1951,1,1,112.85,"$3,845,630,030,824 ",80.9,11.5,48.8,83132799,
101,Finance & Investments,Renata Kellnerova & family,Czech Republic,Prague,"Finance, telecommunications",Finance & Investments,FALSE,F,Kellnerova,Renata,16500,1967,7,4,116.48,"$246,489,245,495 ",79,14.9,46.1,10669709,
101,Finance & Investments,Renata Kellnerova & family,Czech Republic,Prague,"Finance, telecommunications",Finance & Investments,FALSE,F,Kellnerova,Renata,16500,1967,7,4,116.48,"$246,489,245,495 ",79,14.9,46.1,10669709,
103,Healthcare,Li Xiting,China,Shenzhen,medical devices,Healthcare,TRUE,M,Li,Xiting,16300,1951,1,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
104,Fashion & Retail,Stefan Persson,Sweden,Stockholm,H&M,Fashion & Retail,FALSE,M,Persson,Stefan,16200,1947,10,4,110.51,"$530,832,908,738 ",82.5,27.9,49.1,10285453,
104,Technology,Eric Schmidt,United States,Atherton,Google,Technology,TRUE,M,Schmidt,Eric,16200,1955,4,27,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
106,Finance & Investments,Michael Platt,Switzerland,Geneva,Hedge funds,Finance & Investments,TRUE,M,Platt,Michael,16000,1968,3,18,99.55,"$703,082,435,360 ",83.6,10.1,28.8,8574832,
107,Food & Beverage,Pang Kang,China,Foshan,Soy sauce,Food & Beverage,TRUE,M,Pang,Kang,15900,1956,1,19,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
108,Food & Beverage,Jorge Paulo Lemann & family,Switzerland,Zurich,Beer,Food & Beverage,TRUE,M,Lemann,Jorge Paulo,15800,1939,8,26,99.55,"$703,082,435,360 ",83.6,10.1,28.8,8574832,
112,Healthcare,Dilip Shanghvi,India,Mumbai,Pharmaceuticals,Healthcare,TRUE,M,Shanghvi,Dilip,15600,1955,10,1,180.44,"$2,611,000,000,000 ",69.4,11.2,49.7,1366417754,
113,Technology,Robert Pera,United States,San Jose,Wireless networking,Technology,TRUE,M,Pera,Robert,15500,1978,3,10,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
114,Fashion & Retail,Radhakishan Damani,India,Mumbai,"Retail, investments",Fashion & Retail,TRUE,M,Damani,Radhakishan,15300,1955,1,1,180.44,"$2,611,000,000,000 ",69.4,11.2,49.7,1366417754,
115,Automotive,Huang Shilin,China,Ningde,Batteries,Automotive,TRUE,M,Huang,Shilin,15200,1967,1,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
116,Diversified,Dhanin Chearavanont,Thailand,Bangkok,Diversified,Diversified,FALSE,M,Chearavanont,Dhanin,14900,1939,4,19,113.27,"$543,649,976,166 ",76.9,14.9,29.5,69625582,
116,Fashion & Retail,David Green & family,United States,Oklahoma City,Retail,Fashion & Retail,TRUE,M,Green,David,14900,1941,11,13,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
118,Food & Beverage,Charoen Sirivadhanabhakdi,Thailand,Bangkok,"Alcohol, real estate",Food & Beverage,TRUE,M,Sirivadhanabhakdi,Charoen,14800,1944,5,2,113.27,"$543,649,976,166 ",76.9,14.9,29.5,69625582,
119,Food & Beverage,Charlene de Carvalho-Heineken & family,United Kingdom,London,Heineken,Food & Beverage,FALSE,F,de Carvalho-Heineken,Charlene,14700,1954,6,30,119.62,"$2,827,113,184,696 ",81.3,25.5,30.6,66834405,
120,Healthcare,Xu Hang,China,Shenzhen,Medical devices,Healthcare,TRUE,M,Xu,Hang,14600,1962,5,22,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
121,Automotive,Wei Jianjun & family,China,Baoding,Automobiles,Automotive,TRUE,M,Wei,Jianjun,14500,1964,3,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
123,Manufacturing,Goh Cheng Liang,Singapore,Singapore,Paints,Manufacturing,TRUE,M,Goh,Cheng Liang,14300,1927,6,27,114.41,"$372,062,527,489 ",83.1,13.1,21,5703569,
124,Diversified,Kumar Birla,India,Mumbai,Commodities,Diversified,FALSE,M,Birla,Kumar,14200,1967,6,14,180.44,"$2,611,000,000,000 ",69.4,11.2,49.7,1366417754,
124,Manufacturing,Aliko Dangote,Nigeria,Lagos,"Cement, sugar",Manufacturing,TRUE,M,Dangote,Aliko,14200,1957,4,10,267.51,"$448,120,428,859 ",54.3,1.5,34.8,200963599,
127,Diversified,Idan Ofer,United Kingdom,London,Shipping,Diversified,FALSE,M,Ofer,Idan,14000,1955,10,2,119.62,"$2,827,113,184,696 ",81.3,25.5,30.6,66834405,
128,Healthcare,Chen Bang,China,Changsha,Hospitals,Healthcare,TRUE,M,Chen,Bang,13900,1965,9,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
130,Logistics,John Fredriksen,United Kingdom,London,Shipping,Logistics,TRUE,M,Fredriksen,John,13700,1945,2,1,119.62,"$2,827,113,184,696 ",81.3,25.5,30.6,66834405,
130,Construction & Engineering,Diane Hendricks,United States,Afton,Building supplies,Construction & Engineering,TRUE,F,Hendricks,Diane,13700,1947,3,2,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
130,Technology,Jan Koum,United States,Atherton,WhatsApp,Technology,TRUE,M,Koum,Jan,13700,1976,2,24,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
133,Sports,Jerry Jones,United States,Dallas,Dallas Cowboys,Sports,TRUE,M,Jones,Jerry,13300,1942,10,13,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
133,Energy,George Kaiser,United States,Tulsa,"Oil & gas, banking",Energy,FALSE,M,Kaiser,George,13300,1942,7,29,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
136,Automotive,Lu Xiangyang,China,Guangzhou,"Automobiles, batteries",Automotive,TRUE,M,Lu,Xiangyang,13200,1962,12,28,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
137,Real Estate,Harry Triguboff,Australia,Sydney,Real estate,Real Estate,TRUE,M,Triguboff,Harry,13100,1933,3,3,119.8,"$1,392,680,589,329 ",82.7,23,47.4,25766605,
138,Finance & Investments,Uday Kotak,India,Mumbai,Banking,Finance & Investments,TRUE,M,Kotak,Uday,12900,1959,3,15,180.44,"$2,611,000,000,000 ",69.4,11.2,49.7,1366417754,
138,Sports,Stanley Kroenke,United States,Electra,"Sports, real estate",Sports,TRUE,M,Kroenke,Stanley,12900,1947,7,29,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
140,Energy,Mikhail Fridman,United Kingdom,London,"Oil, banking, telecom",Energy,TRUE,M,Fridman,Mikhail,12600,1964,4,21,119.62,"$2,827,113,184,696 ",81.3,25.5,30.6,66834405,
141,Energy,Sarath Ratanavadi,Thailand,Bangkok,Energy,Energy,TRUE,M,Ratanavadi,Sarath,12300,1965,7,12,113.27,"$543,649,976,166 ",76.9,14.9,29.5,69625582,
142,Metals & Mining,Dang Yanbao,China,Yinchuan,Coal,Metals & Mining,TRUE,M,Dang,Yanbao,12200,1973,2,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
